dim_x,dim_y,dim_z,spacing_x_mm,spacing_y_mm,spacing_z_mm,count,example
512,512,188,0.3906,0.3906,0.6401,65,BP030
512,512,188,0.3906,0.3906,1.468,1,BP314
512,512,188,0.4102,0.4102,0.6401,1,BP859
512,512,188,0.4297,0.4297,0.6401,1,BP146
512,512,188,0.4688,0.4688,0.6401,7,BP310
512,512,200,0.4688,0.4688,0.6,2,BP694
512,512,208,0.3906,0.3906,0.6459,14,BP235
512,512,208,0.3906,0.3906,0.9695,1,BP822
512,512,208,0.3906,0.3906,1.3332,1,BP487
512,512,208,0.4297,0.4297,0.6459,7,BP391
512,512,216,0.4688,0.4688,0.6,100,BP042
512,512,216,0.4688,0.4688,0.6479,1,BP133
512,512,216,0.4883,0.4883,0.6,7,BP090
512,512,216,0.5078,0.5078,0.6,1,BP282
512,512,244,0.4688,0.4688,0.6,7,BP045
512,512,252,0.4688,0.4688,0.6,2,BP485
512,512,252,0.4883,0.4883,0.6,1,BP104
512,512,264,0.4688,0.4688,0.6,1,BP644
512,512,264,0.4883,0.4883,0.6,1,BP029
512,512,352,0.4688,0.4688,0.3,3,BP028
512,512,368,0.4688,0.4688,0.3,1,BP829
512,512,384,0.4688,0.4688,0.3,2,BP277
512,512,400,0.4688,0.4688,0.3,1,BP709
512,512,416,0.4688,0.4688,0.3,6,BP240
512,512,434,0.4102,0.4102,0.3,2,BP511
512,512,456,0.4688,0.4688,0.3,1,BP831
524,640,272,0.3359,0.3359,0.5,1,BP324
696,768,243,0.2344,0.2344,0.5,48,BP005
696,768,243,0.2344,0.2344,0.55,6,BP013
696,768,243,0.2474,0.2474,0.5,5,BP033
696,768,243,0.2604,0.2604,0.5,2,BP238
696,768,268,0.2344,0.2344,0.5,1,BP069
696,768,272,0.2344,0.2344,0.5,113,BP082
696,768,272,0.2474,0.2474,0.5,5,BP153
696,768,300,0.2604,0.2604,0.5,1,BP006
696,768,301,0.2344,0.2344,0.5,2,BP716
768,768,194,0.2344,0.2344,0.75,2,BP032
768,768,246,0.2344,0.2344,0.5,1,BP097
768,768,254,0.2344,0.2344,0.5,78,BP008
768,768,254,0.2344,0.2344,0.55,16,BP001
768,768,254,0.2474,0.2474,0.5,4,BP211
768,768,254,0.2487,0.2487,0.5,1,BP837
768,768,279,0.2344,0.2344,0.5,3,BP023
768,768,284,0.2344,0.2344,0.5,213,BP002
768,768,284,0.2344,0.2344,0.55,1,BP206
768,768,312,0.2344,0.2344,0.5,1,BP909
768,768,312,0.2604,0.2604,0.5,1,BP386
768,768,314,0.2344,0.2344,0.5,3,BP368
